{\rtf1\ansi\ansicpg1252\cocoartf2822
\cocoatextscaling0\cocoaplatform0{\fonttbl\f0\fswiss\fcharset0 Helvetica;}
{\colortbl;\red255\green255\blue255;}
{\*\expandedcolortbl;;}
\paperw11900\paperh16840\margl1440\margr1440\vieww11520\viewh8400\viewkind0
\pard\tx720\tx1440\tx2160\tx2880\tx3600\tx4320\tx5040\tx5760\tx6480\tx7200\tx7920\tx8640\pardirnatural\partightenfactor0

\f0\fs24 \cf0 payment_id,user_id,amount,currency,paid_at\
1,1,20,USD,2025-01-03\
2,2,20,USD,2025-01-06\
3,3,200,USD,2025-01-07\
4,4,20,USD,2025-01-08\
5,5,200,USD,2025-01-09\
6,6,20,USD,2025-01-11\
7,7,20,USD,2025-01-12\
8,8,20,USD,2025-01-13\
9,9,20,USD,2025-01-14\
10,10,200,USD,2025-01-15\
11,11,20,USD,2025-01-16\
12,12,20,USD,2025-01-18\
13,13,20,USD,2025-01-19\
14,14,20,USD,2025-01-20\
15,15,20,USD,2025-01-21\
16,16,200,USD,2025-01-22\
17,17,20,USD,2025-01-23\
18,18,20,USD,2025-01-24\
19,19,20,USD,2025-01-25\
20,20,200,USD,2025-01-26\
}
