{\rtf1\ansi\ansicpg1252\cocoartf2822
\cocoatextscaling0\cocoaplatform0{\fonttbl\f0\fswiss\fcharset0 Helvetica;}
{\colortbl;\red255\green255\blue255;}
{\*\expandedcolortbl;;}
\paperw11900\paperh16840\margl1440\margr1440\vieww11520\viewh8400\viewkind0
\pard\tx720\tx1440\tx2160\tx2880\tx3600\tx4320\tx5040\tx5760\tx6480\tx7200\tx7920\tx8640\pardirnatural\partightenfactor0

\f0\fs24 \cf0 user_id,signup_date,country,acquisition_channel,subscription_status,plan_type\
1,2025-01-02,India,Google Ads,active,monthly\
2,2025-01-05,USA,Organic,cancelled,monthly\
3,2025-01-06,UK,Facebook,active,yearly\
4,2025-01-07,India,Referral,active,monthly\
5,2025-01-08,UAE,Google Ads,active,yearly\
6,2025-01-10,Germany,LinkedIn,cancelled,monthly\
7,2025-01-11,India,Organic,active,monthly\
8,2025-01-12,Singapore,Facebook,active,monthly\
9,2025-01-13,USA,Referral,cancelled,monthly\
10,2025-01-14,UK,Google Ads,active,yearly\
11,2025-01-15,Canada,Organic,active,monthly\
12,2025-01-17,India,LinkedIn,active,monthly\
13,2025-01-18,UAE,Facebook,cancelled,monthly\
14,2025-01-19,France,Organic,active,monthly\
15,2025-01-20,USA,Google Ads,active,monthly\
16,2025-01-21,India,Referral,active,yearly\
17,2025-01-22,Germany,Facebook,cancelled,monthly\
18,2025-01-23,UK,Organic,active,monthly\
19,2025-01-24,USA,LinkedIn,active,monthly\
20,2025-01-25,India,Google Ads,active,yearly}
